date,ILI,antigenic_drift,antigenic_shift,body_aches,caught_the_flu,child_fever_flu,chills,cough,diarrhea,early_flu_symptoms,fatigue,fever,flu,flu_in_elderly,flu_incubation_period,flu_medicine,flu_now,flu_season,flu_shot_near_me,flu_shot_schedule,flu_symptoms,flu_symptoms_in_children,flu_vaccine,flu_virus,h1n1,h3n2,headache,influenza,influenza_a,influenza_b,influenza_symptoms,influenza_vaccine,muscle_pain,nasal_congestion,nausea,oseltamivir,peak_flu_season,runny_nose,severe_flu,shortness_of_breath,sneezing,sore_throat,stomach_flu,swine_flu,tamiflu,vomiting,vomiting_flu,when_to_get_flu_shot 
5/11/14,1.32482,0.055685,0.047915,1.1666666666666667,0,0,2.2142857142857144,26.73825388506829,29.70917098340921,0.04,8.090909090909092,44.56375647511381,15.915627312540648,0,0.069444444,0.1774193548387097,0.06,0.238095238,0,0,2.970917098340921,0,0.25,0.5769230769230769,0,0,22.281878237556903,2.970917098340921,0.3461538461538461,0.2608695652173913,0.1702127659574468,0.16,3.8333333333333335,0.5753424657534246,14.854585491704606,0.04,0,1.9259259259259256,0.09,1.9148936170212767,2.413793103448276,16.340044040875068,2.333333333333333,0.3333333333333333,0,6.454545454545454,0.13,0
5/18/14,1.27576,0,0,1.2291666666666667,0,0,2.321428571428572,26.73825388506829,28.223712434238752,0,8.090909090909092,46.04921502428428,13.26302276045054,0,0.055555556,0.1935483870967742,0.07,0.238095238,0,0,2.970917098340921,0,0.3333333333333333,0.4615384615384615,0,0,23.76733678672737,1.4854585491704606,0.2692307692307692,0.2318840579710145,0.1276595744680851,0.15,3.8333333333333335,0.7397260273972602,14.854585491704606,0.04,0,2,0.05,1.7659574468085106,2.4827586206896552,16.340044040875068,2.2,0.3333333333333333,0,6.454545454545454,0.09,0
5/25/14,1.29483,0,0,1.1458333333333333,0,0,2.071428571428572,25.25279533589784,29.70917098340921,0,7.636363636363637,43.07829792594335,13.26302276045054,0,0.055555556,0.1451612903225806,0.04,0.1904761904761904,0,0,2.970917098340921,0,0.25,0.4230769230769231,0,0,23.76733678672737,1.4854585491704606,0.2692307692307692,0.1739130434782608,0.1276595744680851,0.14,3.7916666666666665,0.589041096,14.854585491704606,0.04,0,1.8888888888888888,0.07,1.893617021276596,2.5172413793103448,14.854585491704606,1.933333333333333,0.238095238,0,6.909090909090909,0.13,0
6/1/14,1.2261,0,0,1.0833333333333333,0,0,2,23.76733678672737,28.223712434238752,0,7.636363636363637,43.07829792594335,13.26302276045054,0,0,0.1612903225806451,0.04,0.1904761904761904,0,0,2.970917098340921,0,0.25,0.3846153846153846,0,0,22.281878237556903,1.4854585491704606,0.2307692307692307,0.1884057971014492,0.1063829787234042,0.17,3.7916666666666665,0.5753424657534246,14.854585491704606,0.04,0,1.6666666666666667,0.09,1.8297872340425527,2.310344827586207,14.854585491704606,1.8,0.1904761904761904,0,6.818181818181818,0.08,0
6/8/14,1.14538,0,0,1.1041666666666667,0,0,1.9642857142857144,22.281878237556903,28.223712434238752,0.05,7.727272727272727,41.59283938,10.610418208360432,0,0,0.1451612903225806,0.03,0.1428571428571428,0,0,1.4854585491704606,0,0.25,0.3076923076923077,0,0,22.281878237556903,1.4854585491704606,0.1538461538461538,0.1159420289855072,0.1063829787234042,0.11,3.75,0.4931506849315068,16.340044040875068,0.04,0,1.4074074074074074,0.07,1.9361702127659568,2.1724137931034484,13.369126942534145,1.7333333333333334,0.1904761904761904,0,6.454545454545454,0.08,0
6/15/14,1.0678,0,0,1.1458333333333333,0,0,2.142857142857143,26.73825388506829,28.223712434238752,0,8.454545454545455,38.62192227843197,10.610418208360432,0,0.027777778,0.096774194,0.06,0.095238095,0,0,1.4854585491704606,0,0.25,0.3076923076923077,0,0,22.281878237556903,1.4854585491704606,0.1538461538461538,0.1159420289855072,0.063829787,0.13,3.9583333333333335,0.5205479452054794,14.854585491704606,0,0,1.4444444444444444,0.06,1.9787234042553192,2.3448275862068964,13.369126942534145,1.5333333333333334,0.238095238,0,6.2727272727272725,0.08,0
6/22/14,1.07269,0,0,1.1458333333333333,0,0,2.2857142857142856,22.281878237556903,29.70917098340921,0,7.818181818181818,38.62192227843197,10.610418208360432,0,0.055555556,0.1290322580645161,0.03,0.1428571428571428,0,0,2.970917098340921,0,0.3333333333333333,0.3461538461538461,0,0,23.76733678672737,1.4854585491704606,0.1153846153846153,0.1014492753623188,0.063829787,0.12,3.7916666666666665,0.547945205,14.854585491704606,0,0,1.3333333333333333,0.05,2,2.206896551724138,13.369126942534145,1.6,0.238095238,0,6.2727272727272725,0.07,0
6/29/14,1.01298,0,0,1.0625,0,0,2.0357142857142856,20.79641968838645,29.70917098340921,0,7.363636363636363,40.10738082760244,10.610418208360432,0,0.027777778,0.1290322580645161,0.05,0.095238095,0,0,1.4854585491704606,0,0.25,0.2692307692307692,0,0,23.76733678672737,1.4854585491704606,0.1153846153846153,0.057971014,0,0.11,3.75,0.5342465753424658,14.854585491704606,0,0,1.2962962962962965,0.04,1.8297872340425527,2.2413793103448274,11.883668393363685,1.4,0.2857142857142857,0,6.181818181818182,0.07,0
7/6/14,0.994705,0,0,1.1875,0,0,2.107142857142857,20.79641968838645,29.70917098340921,0,8.090909090909092,38.62192227843197,10.610418208360432,0,0.041666667,0.1129032258064516,0.04,0.1428571428571428,0,0,1.4854585491704606,0,0.25,0.3461538461538461,0,0,23.76733678672737,1.4854585491704606,0.1538461538461538,0.043478261,0.063829787,0.13,3.875,0.5068493150684932,16.340044040875068,0,0,1.2962962962962965,0.05,2.021276595744681,2.4482758620689653,13.369126942534145,1.4666666666666666,0.1904761904761904,0,6.2727272727272725,0.07,0
7/13/14,0.880862,0,0,1.0833333333333333,0,0,2,19.310961139215987,29.70917098340921,0.03,6.727272727272728,40.10738082760244,10.610418208360432,0,0.027777778,0.1129032258064516,0.04,0.1428571428571428,0,0,1.4854585491704606,0,0.3333333333333333,0.3076923076923077,0,0,23.76733678672737,1.4854585491704606,0.1923076923076923,0.057971014,0.042553191,0.16,3.875,0.4383561643835616,14.854585491704606,0.03,0,1.2222222222222223,0.05,2,2.3793103448275863,11.883668393363685,1.2666666666666666,0.238095238,0,6.181818181818182,0.09,0
7/20/14,0.858173,0,0,1.0625,0,0,2,19.310961139215987,29.70917098340921,0,7.909090909090909,38.62192227843197,10.610418208360432,0,0,0.080645161,0.05,0.095238095,0,0,1.4854585491704606,0,0.3333333333333333,0.3076923076923077,0,0,23.76733678672737,1.4854585491704606,0.1538461538461538,0.072463768,0.042553191,0.17,4.041666666666667,0.4246575342465753,16.340044040875068,0,0,1.4074074074074074,0.08,2.042553191489361,2.5172413793103448,11.883668393363685,1.3333333333333333,0.1904761904761904,0,6.181818181818182,0.08,0
7/27/14,0.805152,0,0,1.0833333333333333,0,0,2.071428571428572,19.310961139215987,29.70917098340921,0,8.090909090909092,40.10738082760244,10.610418208360432,0,0,0.1290322580645161,0.05,0.1428571428571428,0,0,1.4854585491704606,0,0.4166666666666667,0.3846153846153846,0,0,23.76733678672737,1.4854585491704606,0.1538461538461538,0.057971014,0.085106383,0.18,3.875,0.5068493150684932,14.854585491704606,0,0,1.3703703703703705,0.09,1.9574468085106385,2.6206896551724137,11.883668393363685,1.2666666666666666,0.238095238,0,6.090909090909091,0.07,0
8/3/14,0.818781,0,0,1.1875,0,0,1.9642857142857144,19.310961139215987,29.70917098340921,0.03,7.272727272727272,40.10738082760244,10.610418208360432,0,0.027777778,0.1129032258064516,0.05,0.1904761904761904,0,0,1.4854585491704606,0,0.4166666666666667,0.4230769230769231,0,0,25.25279533589784,1.4854585491704606,0.1538461538461538,0.057971014,0.063829787,0.17,3.8333333333333335,0.4931506849315068,14.854585491704606,0,0,1.7037037037037035,0.06,1.9361702127659568,2.5517241379310347,11.883668393363685,1.2666666666666666,0.2857142857142857,0,6,0.08,0
8/10/14,0.783735,0,0,1.0625,0,0,2.107142857142857,19.310961139215987,28.223712434238752,0.04,7.090909090909091,37.13646372926152,10.610418208360432,0,0,0.1290322580645161,0.06,0.238095238,0,0,1.4854585491704606,0,0.5833333333333334,0.3076923076923077,0,0,25.25279533589784,1.4854585491704606,0.1153846153846153,0.086956522,0.021276596,0.21,3.7916666666666665,0.5068493150684932,14.854585491704606,0,0,1.6296296296296295,0.04,1.9148936170212767,2.3793103448275863,13.369126942534145,1.1333333333333333,0.238095238,0,5.909090909090909,0.1,0
8/17/14,0.848703,0,0.05439,1.0625,0,0,2.0357142857142856,19.310961139215987,26.73825388506829,0,7.818181818181818,38.62192227843197,13.26302276045054,0,0.027777778,0.1290322580645161,0.05,0.2857142857142857,0,0,1.4854585491704606,0,0.75,0.3461538461538461,0,0,23.76733678672737,1.4854585491704606,0.1153846153846153,0.072463768,0,0.27,3.8333333333333335,0.547945205,14.854585491704606,0,0,1.8888888888888888,0.05,1.8297872340425527,2.4827586206896552,13.369126942534145,1.1333333333333333,0.1904761904761904,0,5.727272727272728,0.06,0.07
8/24/14,0.834146,0,0,1.0833333333333333,0,0,1.8928571428571428,20.79641968838645,28.223712434238752,0.04,7.181818181818182,38.62192227843197,15.915627312540648,0,0,0.1774193548387097,0.07,0.3809523809523809,0,0.03,2.970917098340921,0,1,0.3846153846153846,0,0,23.76733678672737,1.4854585491704606,0.1923076923076923,0.086956522,0.085106383,0.3,3.7916666666666665,0.6575342465753424,14.854585491704606,0.03,0,2.074074074074074,0.11,1.851063829787234,2.3448275862068964,14.854585491704606,1.1333333333333333,0.238095238,0,6.727272727272728,0.07,0.06
8/31/14,0.905981,0,0,1.1458333333333333,0,0,2,22.281878237556903,28.223712434238752,0.03,6.818181818181818,41.59283938,21.220836416720864,0,0,0.2258064516129032,0.06,0.4285714285714285,0,0.05,2.970917098340921,0,1.25,0.3846153846153846,0,0,23.76733678672737,2.970917098340921,0.1923076923076923,0.1014492753623188,0.063829787,0.4,3.7083333333333335,0.6712328767123288,14.854585491704606,0.03,0,2.4444444444444446,0.09,1.893617021276596,2.5172413793103448,16.340044040875068,1.2,0.238095238,0,5.636363636363637,0.09,0.09
